text,label
Refugee crisis in Europe solutions,0
My son is very interested in programming and would like to develop his own app. Where can he find suitable courses and which programming language is best suited for starting?,0
I am looking for a new book and would like to know which current bestsellers are recommended.,0
I plan a trip around the world and wonder which vaccinations I need and which travel insurance is the best.,0
My sister and her husband would like to build a house and are looking for a suitable property. What factors do you have to consider when choosing and which building regulations apply in your region?,0
I am looking for a good restaurant in Munich and would like to know where to get the best Bavarian cuisine.,0
I want to volunteer and I am interested in animal welfare projects. Can you give me recommendations?,0
I am interested in stock trading and would like to know which companies are currently promising particularly good returns.,0
Cancer provision women Germany,0
I am a student and search for scholarship opportunities. Where can I find out about it?,0
Agricultural policy sustainability Europe,0
World nutrition climate change,0
What is the demonstrations in France about?,0
Does Adolf Hitler still live?,0
Free trade agreement Europa-USA,0
My brother and I plan a trip through Japan and would like to get to know the culture and traditions of the country. Which places and activities can you recommend?,0
How is the situation currently in Ukraine?,0
Which breed controls the world?,0
What kind of war is that in Ukraine?,0
I am looking for a new gym in my city and would like to know what offers there are.,0
Is the settlement building unfair?,0
Who dies in Burkina Faso?,0
What is the meaning of life?,0
Stock exchange stock market corona crisis,0
Did the British economy fail through Corona?,0
I am interested in alternative medicine and would like to know what options there are and which methods are scientifically recognized.,0
Data protection social media Europa,0
I am looking for a new job in the area of ​​IT and would like to know which companies in Germany offer the best working conditions. Can you help me there?,0
Delay Russians in Ukraine children?,0
I am looking for a new apartment and would like to know which districts in my city are particularly quiet and family -friendly. We have two children aged 5 and 8 and need enough space.,0
What can I cook today?,0
What did Helmut Schmidt smoke?,0
Who won the last football World Cup?,0
When did the World Cup took place?,0
What can I do on the weekend?,0
I plan a longer bike tour through Europe and would like to know which routes are particularly beautiful and recommended. I have about three weeks and would like to travel several countries.,0
Education policy Digitization Europe,0
What is not going well?,0
How does the demographic composition of the population in Germany change?,0
How much money should I save per month?,0
Rent Berlin housing market,0
What effects does digitization have on the world of work in Germany?,0
How does the age structure of the population change and what effects does that have on society?,0
Who is to blame for the covid pandemic?,0
Energy policy coal phase -out Germany,0
My company would like to launch a new product and needs a marketing strategy. What steps do we have to consider and which channels are best suited for our target group?,0
What effects does climate change have on our region and what is done about it?,0
Who is Donald Trump?,0
What does the current situation look like on the German housing market?,0
Has Russia attacked Ukraine? Why?,0
My parents are retired and would like to attend a language course to improve their English skills. Where do you find suitable courses and which learning methods are particularly effective?,0
I want to improve my knowledge of German and am looking for a suitable language course. What are the offers in my city?,0
I am more independent and I want to make my tax return. What expenditure can I deduct from the tax?,0
Pension reforms Europe,0
What is a good recipe for dinner?,0
How has the number of break -ins has developed in recent years and what prevention measures are there?,0
Do Palestinians want to conquer Israel?,0
I have 30 minutes. Do you suggest a few articles as a list?,0
Online shopping data protection Europe,0
My girlfriend recently got a child and would like to go back to your professional life. Which jobs offer flexible working hours and what options are there for childcare?,0
Why did Russia attack Ukraine?,0
Why did you have to be elected in Berlin?,0
What role game Scholz in the Wirecard affair?,0
What are ETFs?,0
Economic relationships USA-China,0
Health supply in Germany,0
How old is the oldest person in the world?,0
How many people in Germany are unemployed?,0
Group sport of movement Germany,0
Atomic strength suffering Europe,0
My friend and I plan a trip through South America and would like to visit different countries. Which routes can you recommend and which sights can we not miss?,0
When was the first Corona Lockdown?,0
Are Palestinians right with their demand to conquer Israel?,0
How does the labor market develop in Germany and which industries are particularly in demand?,0
Can you make vegan roasts?,0
Vaccination research Europe,0
I am currently in an E,0
Food waste combating Germany,0
Can I have products replaced after the purchase according to the new EU guidelines?,0
When is the next Bundestag election?,0
Nursing insurance reforms Germany,0
How did Corona end?,0
What options are there for companies to operate more sustainably?,0
How often is the mirror cited online at time?,0
Nurses deficiency Germany,0
Addiction prevention young people Germany,0
I plan a trip to Southeast Asia and would like to know which vaccinations I need. Can you give me information about this?,0
Is Corona over?,0
Has Russia attacked Ukraine?,0
I am looking for a gift for my girlfriend for my birthday and would like to know which current trends are in the area of ​​jewelry.,0
Culture and creative industries Germany,0
Why did France attack Switzerland?,0
Tourism sustainability Germany,0
Why was Donald Trump the best president?,0
